Source.Name,sent,point_id,point_text,match_score,point_title,flag
match_2913.csv,"""Examples of automatic payments that can be arranged by you either with a seller or with PayPal include those that PayPal calls a “billing agreement,” """"subscription,"""" """"recurring payment,” “reference transaction,” """"preauthorized transfer"""" or """"preapproved payment.""""""",,,,,
match_2913.csv,"""If we place a reserve on funds in your account, the funds will be shown as """"pending"""" and we’ll notify you of the terms of the reserve.""",,,,,
match_2913.csv,"""If you meet the eligibility requirements in the Nonprofit Certification Policy and are either a “Public Charity” under Section 509(a) of the Code or a """"Private Operating Foundation"""" under IRS regulations, you may be automatically enrolled with PayPal Giving Fund upon acceptance of this user agreement.""",,,,,
match_2913.csv,"""Intellectual Property   PayPal’s trademarks """"PayPal.com,"""" """"PayPal,"""" and all logos related to the PayPal services are either trademarks or registered trademarks of PayPal or PayPal's licensors.""",,,,,
match_2913.csv,"""Learn more and manage your cookiesYes, Accept Cookies <img src=""""https:https://t.paypal.com/ts?nojs=1&pgrp=main%3Amktg%3A%3A%3Auseragreement-full&page=main%3Amktg%3A%3A%3Auseragreement-full%3A%3A%3A&pgst=Unknown&calc=ff63fcd8ee596&nsid=822mXxQwRo2PDSQCEVPpxbmNFmdZhE13&rsta=en_US&pgtf=Nodejs&env=live&s=ci&ccpg=us&csci=487d08038564417ebb9e6b3695e835dc&comp=mppnodeweb&tsrce=mppnodeweb&cu=0&ef_policy=ccpa&pgld=Unknown&bzsr=main&bchn=mktg&tmpl=useragreement-full.dust&lgin=out&shir=main_mktg__&pros=3&lgcook=0"""" alt="""""""" height=""""1"""" width=""""1"""" border=""""0""""&gt.""",,,,,
match_2913.csv,"""The arbitration will be conducted by the American Arbitration Association (referred to as the """"AAA"""") under its rules and procedures, including the AAA's Consumer Arbitration Rules (as applicable), as modified by this Agreement to Arbitrate.""",,,,,
match_2913.csv,"""The item has minor scratches and was described as “used.""""""",,,,,
match_2913.csv,"""This type of transaction is sometimes called a “billing agreement,” """"subscription,"""" """"recurring payment,” “reference transaction,” """"pre-approved payment """" or """"automatic payment.""""""",,,,,
match_2913.csv,"(2) delays or disruptions in our websites, software, systems (including any networks and servers used to provide any of the PayPal services) operated by us or on our behalf and any of the PayPal services.",,,,,
match_2913.csv,"(3) viruses or other malicious software obtained by accessing our websites, software, systems (including any networks and servers used to provide any of the PayPal services) operated by us or on our behalf or any of the PayPal services or any website or service linked to our websites, software or any of the PayPal services.",,,,,
match_2913.csv,"(4) glitches, bugs, errors, or inaccuracies of any kind in our websites, software, systems (including any networks and servers used to provide any of the PayPal services) operated by us or on our behalf or any of the PayPal services or in the information and graphics obtained from them.",,,,,
match_2913.csv,"(5) the content, actions, or inactions of third parties.",,,,,
match_2913.csv,(6) a suspension or other action taken with respect to your PayPal account.,,,,,
match_2913.csv,© 1999–2020  Accessibility Privacy Legal  We’ll use cookies to improve and customize your experience if you continue to browse.,,,,,
match_2913.csv,A Cash Account is separate account from your personal PayPal account.,,,,,
match_2913.csv,A form for initiating arbitration proceedings is available on the AAA's website at www.adr.org.,,,,,
match_2913.csv,A Minimum reserve is a specific minimum amount of money that you’re required to keep available in the balance of your business PayPal account at all times.,,,,,
match_2913.csv,"A negative balance represents an amount that you owe to us, and, in this situation, you must immediately add funds to your balance to resolve it.",,,,,
match_2913.csv,"A party who intends to seek arbitration must first send the other party, by certified mail, a completed Notice of Dispute.",,,,,
match_2913.csv,A transaction is missing from or not properly identified in your PayPal account statement.,,,,,
match_2913.csv,"Accept credit card, debit card, bank account, Cash Account and other payment methods from others.",,,,,
match_2913.csv,"Accepting Payments  Accepting Payments from Buyers Transaction Fees Refunds, Reversals &amp.",,,,,
match_2913.csv,"Accepting preauthorized payments As a seller, you can accept payments from a buyer’s account through preauthorized transfers either on a one-time, regular or sporadic basis.",,,,,
match_2913.csv,"Account Limitations Limitations are implemented to help protect PayPal, buyers and sellers when we notice restricted activities, an increased financial risk, or activity that appears to us as unusual or suspicious.",,,,,
match_2913.csv,Account Statements You have the right to receive an account statement showing your PayPal account activity.,,,,,
match_2913.csv,"Actions We May Take if You Engage in Any Restricted Activities If we believe that you’ve engaged in any of these activities, we may take a number of actions to protect PayPal, its customers and others at any time in our sole discretion.",,,,,
match_2913.csv,"After the card is confirmed, we will immediately refund this amount to the card.",,,,,
